W;B;E;S;Bewerkingstype;RE_FO_a_WBE [m3 aardgas];RE_FO_b_WBSE [m3 aardgas];FVrvKC_mean_SJV [m3 aardgas];FVrvKC sd_SJV [m3 aardgas];OP_mean [m2];Se (stdv residuals);Sse;t a/2;Count
1;9;0;A;0;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;535.6950774;5650760.677;1.96113443;2029
1;9;0;B;2;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;535.6950774;5650760.677;1.96113443;0
1;9;0;C;2;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;535.6950774;5650760.677;1.96113443;0
1;9;0;D;2;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;535.6950774;5650760.677;1.96113443;0
1;9;0;E;2;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;535.6950774;5650760.677;1.96113443;0
1;9;0;F;2;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;535.6950774;5650760.677;1.96113443;0
1;9;0;G;2;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;535.6950774;5650760.677;1.96113443;0
1;9;1;A+;3;6.500145347;281.898394;1563.250989;576.1246977;197.1267606;467.147463;248931.8592;1.994437112;0
1;9;1;A;0;6.500145347;281.898394;1563.250989;576.1246977;197.1267606;467.147463;248931.8592;1.994437112;71
1;9;1;B;2;6.500145347;281.898394;1563.250989;576.1246977;197.1267606;467.147463;248931.8592;1.994437112;0
1;9;1;C;2;6.500145347;281.898394;1563.250989;576.1246977;197.1267606;467.147463;248931.8592;1.994437112;0
1;9;1;D;2;6.500145347;281.898394;1563.250989;576.1246977;197.1267606;467.147463;248931.8592;1.994437112;0
1;9;1;E;2;6.500145347;281.898394;1563.250989;576.1246977;197.1267606;467.147463;248931.8592;1.994437112;0
1;9;1;F;2;6.500145347;281.898394;1563.250989;576.1246977;197.1267606;467.147463;248931.8592;1.994437112;0
1;9;1;G;2;6.500145347;281.898394;1563.250989;576.1246977;197.1267606;467.147463;248931.8592;1.994437112;0
1;9;2;A+;5;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;535.6950774;5650760.677;1.96113443;0
1;9;2;A;5;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;535.6950774;5650760.677;1.96113443;0
1;9;2;B;5;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;535.6950774;5650760.677;1.96113443;0
1;9;2;C;5;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;535.6950774;5650760.677;1.96113443;0
1;9;2;D;5;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;535.6950774;5650760.677;1.96113443;0
1;9;2;E;5;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;535.6950774;5650760.677;1.96113443;0
1;9;2;F;5;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;535.6950774;5650760.677;1.96113443;0
1;9;2;G;5;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;535.6950774;5650760.677;1.96113443;0
1;10;0;A+;3;4.620448238;375.7356238;1263.295896;545.6451551;192.0939759;543.5487902;3758731.34;1.961394951;0
1;10;0;A;0;4.620448238;375.7356238;1263.295896;545.6451551;192.0939759;543.5487902;3758731.34;1.961394951;1660
1;10;0;B;2;4.620448238;375.7356238;1263.295896;545.6451551;192.0939759;543.5487902;3758731.34;1.961394951;0
1;10;0;C;2;4.620448238;375.7356238;1263.295896;545.6451551;192.0939759;543.5487902;3758731.34;1.961394951;0
1;10;0;D;2;4.620448238;375.7356238;1263.295896;545.6451551;192.0939759;543.5487902;3758731.34;1.961394951;0
1;10;0;E;2;4.620448238;375.7356238;1263.295896;545.6451551;192.0939759;543.5487902;3758731.34;1.961394951;0
1;10;0;F;2;4.620448238;375.7356238;1263.295896;545.6451551;192.0939759;543.5487902;3758731.34;1.961394951;0
1;10;0;G;2;4.620448238;375.7356238;1263.295896;545.6451551;192.0939759;543.5487902;3758731.34;1.961394951;0
1;10;1;A+;3;3.950291126;530.9243382;1276.085985;500.4042144;188.6346154;483.1146962;364392.1154;1.983264145;0
1;10;1;A;0;3.950291126;530.9243382;1276.085985;500.4042144;188.6346154;483.1146962;364392.1154;1.983264145;104
1;10;1;B;2;3.950291126;530.9243382;1276.085985;500.4042144;188.6346154;483.1146962;364392.1154;1.983264145;0
1;10;1;C;2;3.950291126;530.9243382;1276.085985;500.4042144;188.6346154;483.1146962;364392.1154;1.983264145;0
1;10;1;D;2;3.950291126;530.9243382;1276.085985;500.4042144;188.6346154;483.1146962;364392.1154;1.983264145;0
1;10;1;E;2;3.950291126;530.9243382;1276.085985;500.4042144;188.6346154;483.1146962;364392.1154;1.983264145;0
1;10;1;F;2;3.950291126;530.9243382;1276.085985;500.4042144;188.6346154;483.1146962;364392.1154;1.983264145;0
1;10;1;G;2;3.950291126;530.9243382;1276.085985;500.4042144;188.6346154;483.1146962;364392.1154;1.983264145;0
1;10;2;A+;5;4.620448238;375.7356238;1263.295896;545.6451551;192.0939759;543.5487902;3758731.34;1.961394951;0
1;10;2;A;5;4.620448238;375.7356238;1263.295896;545.6451551;192.0939759;543.5487902;3758731.34;1.961394951;0
1;10;2;B;5;4.620448238;375.7356238;1263.295896;545.6451551;192.0939759;543.5487902;3758731.34;1.961394951;0
1;10;2;C;5;4.620448238;375.7356238;1263.295896;545.6451551;192.0939759;543.5487902;3758731.34;1.961394951;0
1;10;2;D;5;4.620448238;375.7356238;1263.295896;545.6451551;192.0939759;543.5487902;3758731.34;1.961394951;0
1;10;2;E;5;4.620448238;375.7356238;1263.295896;545.6451551;192.0939759;543.5487902;3758731.34;1.961394951;0
1;10;2;F;5;4.620448238;375.7356238;1263.295896;545.6451551;192.0939759;543.5487902;3758731.34;1.961394951;0
1;10;2;G;5;4.620448238;375.7356238;1263.295896;545.6451551;192.0939759;543.5487902;3758731.34;1.961394951;0
2;0;0;A+;3;6.047226527;347.4463744;1285.353595;589.8900116;155.0970874;614.6252137;853246.0583;1.971603499;0
2;0;0;A;0;6.047226527;347.4463744;1285.353595;589.8900116;155.0970874;614.6252137;853246.0583;1.971603499;206
2;0;0;B;0;6.047226527;485.4347431;1323.482935;551.5172922;138.5838926;614.1591049;859386.4027;1.967983525;298
2;0;0;C;0;6.047226527;547.2828881;1375.472754;612.7364544;136.95367;613.2840254;5190144.877;1.961200308;1921
2;0;0;D;0;6.047226527;615.2402244;1437.681582;615.6903466;136.0030675;613.2098256;9489204.966;1.960625926;3586
2;0;0;E;0;6.047226527;647.2786494;1463.985369;630.7121542;135.0547588;613.2576266;6119683.1;1.960995941;2301
2;0;0;F;0;6.047226527;758.4308611;1577.927373;650.2907398;135.516093;613.1928429;11845929.34;1.960494479;4474
2;0;0;G;0;6.047226527;742.7827639;1538.515792;665.1380106;131.5864429;613.1638861;21130336.38;1.960270368;7745
2;0;1;A+;3;5.166804466;768.5838232;1397.026225;740.9643164;121.6307692;650.8529479;165189.1385;1.997729654;0
2;0;1;A;3;5.166804466;768.5838232;1397.026225;740.9643164;121.6307692;650.8529479;165189.1385;1.997729654;0
2;0;1;B;3;5.166804466;768.5838232;1397.026225;740.9643164;121.6307692;650.8529479;165189.1385;1.997729654;0
2;0;1;C;0;5.166804466;768.5838232;1397.026225;740.9643164;121.6307692;650.8529479;165189.1385;1.997729654;65
2;0;1;D;0;5.166804466;690.4609363;1308.548532;598.8190356;119.6266667;650.1560284;215285.5467;1.992543495;75
2;0;1;E;0;5.166804466;879.1365924;1487.931475;594.2293881;117.828125;650.9349554;150141.1094;1.998340543;64
2;0;1;F;0;5.166804466;862.7810782;1500.618711;622.9559452;123.4491525;648.5255642;285353.1949;1.980447599;118
2;0;1;G;0;5.166804466;880.971179;1483.283068;653.9643743;116.5733855;646.382159;1232560.998;1.964626368;511
2;0;2;A+;3;3.967757016;506.6967415;855.1591666;328.703577;87.82352941;490.6719237;15459.88235;1.996008354;0
2;0;2;A;0;3.967757016;506.6967415;855.1591666;328.703577;87.82352941;490.6719237;15459.88235;1.996008354;68
2;0;2;B;0;3.967757016;642.9676056;1015.228237;427.0422956;93.82142857;488.7577216;69516.53571;1.977177724;140
2;0;2;C;0;3.967757016;680.0599106;1017.8433;386.2055406;85.13207547;487.6558671;96134.5283;1.966396196;371
2;0;2;D;0;3.967757016;745.9432189;1094.299382;435.8506849;87.79674797;487.6594583;140745.7561;1.966431267;369
2;0;2;E;0;3.967757016;775.472406;1122.721061;447.2392362;87.51762115;487.534842;186355.359;1.965214568;454
2;0;2;F;0;3.967757016;898.6594005;1264.36584;489.3701694;92.16956522;488.063233;136042.387;1.970377283;230
2;0;2;G;0;3.967757016;899.9489988;1299.744604;560.7977802;100.7611111;488.3624784;144672.7278;1.973305434;180
2;1;0;A+;3;6.358692621;421.6092347;1353.090058;674.4966766;146.4893617;608.3394284;306073.4894;1.985801814;0
2;1;0;A;0;6.358692621;421.6092347;1353.090058;674.4966766;146.4893617;608.3394284;306073.4894;1.985801814;94
2;1;0;B;0;6.358692621;485.8599504;1401.598397;610.7788697;144.0136364;606.4461111;535864.9591;1.970855367;220
2;1;0;C;0;6.358692621;489.7442922;1357.236355;580.1458071;136.4261672;605.2243429;3535644.459;1.961253395;1842
2;1;0;D;0;6.358692621;574.8719493;1431.228825;573.0804385;134.6749917;605.160748;5502174.792;1.960754528;3003
2;1;0;E;0;6.358692621;643.9919469;1493.753079;613.6032643;133.6377119;605.1882325;4727943.244;1.960970118;2360
2;1;0;F;0;6.358692621;749.111992;1595.141968;624.4172469;133.0509314;605.1313108;8218440.999;1.96052364;4241
2;1;0;G;0;6.358692621;769.4274031;1601.532085;651.3344253;130.8609696;605.1096784;12900490.38;1.96035398;6085
2;1;1;A+;3;7.076089366;763.1601279;1591.760226;697.7900124;117.0985915;693.3347585;79434.30986;1.994437112;0
2;1;1;A;3;7.076089366;763.1601279;1591.760226;697.7900124;117.0985915;693.3347585;79434.30986;1.994437112;0
2;1;1;B;3;7.076089366;763.1601279;1591.760226;697.7900124;117.0985915;693.3347585;79434.30986;1.994437112;0
2;1;1;C;3;7.076089366;763.1601279;1591.760226;697.7900124;117.0985915;693.3347585;79434.30986;1.994437112;0
2;1;1;D;3;7.076089366;763.1601279;1591.760226;697.7900124;117.0985915;693.3347585;79434.30986;1.994437112;0
2;1;1;E;3;7.076089366;763.1601279;1591.760226;697.7900124;117.0985915;693.3347585;79434.30986;1.994437112;0
2;1;1;F;0;7.076089366;763.1601279;1591.760226;697.7900124;117.0985915;693.3347585;79434.30986;1.994437112;71
2;1;1;G;0;7.076089366;769.3114127;1612.335066;693.577294;119.1369427;689.4668186;569871.1115;1.967572019;314
2;1;2;A+;3;5.016379553;498.0768402;969.52694;352.9278987;93.98214286;509.0779548;53121.96429;1.981566757;0
2;1;2;A;3;5.016379553;498.0768402;969.52694;352.9278987;93.98214286;509.0779548;53121.96429;1.981566757;0
2;1;2;B;0;5.016379553;498.0768402;969.52694;352.9278987;93.98214286;509.0779548;53121.96429;1.981566757;112
2;1;2;C;0;5.016379553;633.7036759;1081.50204;470.6286456;89.26724138;508.9974873;52406.71552;1.980807541;116
2;1;2;D;0;5.016379553;744.7910744;1188.570426;468.8330682;88.46606335;507.9353361;112330.9955;1.970805592;221
2;1;2;E;0;5.016379553;747.2304362;1177.465031;466.8866954;85.76595745;508.5993041;53095.2766;1.97705372;141
2;1;2;F;0;5.016379553;759.6473067;1194.818233;600.5123813;86.75;509.5872876;55179.25;1.986377154;92
2;1;2;G;0;5.016379553;734.4260941;1182.227547;510.8841833;89.26785714;511.4505014;20294.98214;2.004044783;56
2;2;0;A+;3;5.825525791;453.5309379;1315.505065;542.8702721;147.965035;569.0895542;351658.8252;1.976810994;0
2;2;0;A;0;5.825525791;453.5309379;1315.505065;542.8702721;147.965035;569.0895542;351658.8252;1.976810994;143
2;2;0;B;0;5.825525791;447.2682143;1200.694404;505.9982306;129.3318777;567.7036374;793647.5546;1.965168491;458
2;2;0;C;0;5.825525791;533.973067;1280.034742;516.3842859;128.0676976;567.1309104;7052201.327;1.960371745;5820
2;2;0;D;0;5.825525791;605.3840351;1329.334933;541.5465637;124.2721986;567.14562;5694453.734;1.960494835;4471
2;2;0;E;0;5.825525791;723.8897256;1435.587476;566.5473708;122.1688438;567.109823;12021515.56;1.960195295;10258
2;2;0;F;0;5.825525791;729.0452874;1431.491553;577.9063569;120.5807495;567.1361312;6550961.972;1.960415432;5257
2;2;0;G;0;5.825525791;705.7878809;1387.822516;596.8987552;117.0769231;567.1924081;3229910.769;1.960886398;2574
2;2;1;A+;3;5.954207163;488.1990799;1101.55459;491.7405858;103.0121212;589.8791917;207119.9758;1.974534576;0
2;2;1;A;3;5.954207163;488.1990799;1101.55459;491.7405858;103.0121212;589.8791917;207119.9758;1.974534576;0
2;2;1;B;3;5.954207163;488.1990799;1101.55459;491.7405858;103.0121212;589.8791917;207119.9758;1.974534576;0
2;2;1;C;0;5.954207163;488.1990799;1101.55459;491.7405858;103.0121212;589.8791917;207119.9758;1.974534576;165
2;2;1;D;0;5.954207163;614.456084;1249.961374;562.4739104;106.7321429;590.7450639;172963.9643;1.981566757;112
2;2;1;E;0;5.954207163;780.9792663;1452.561227;561.1903707;112.7911647;589.2672686;300545.1406;1.969575654;249
2;2;1;F;0;5.954207163;833.8083146;1514.466923;587.2279141;114.3155738;589.2918143;413526.7008;1.969774395;244
2;2;1;G;0;5.954207163;803.1847869;1463.470275;642.1935018;110.8939394;590.3355352;214282.5152;1.978238539;132
2;2;2;A+;3;3.807040435;455.4203805;847.2708104;379.8493621;102.9278351;509.3183897;30120.49485;1.984984312;0
2;2;2;A;0;3.807040435;455.4203805;847.2708104;379.8493621;102.9278351;509.3183897;30120.49485;1.984984312;97
2;2;2;B;0;3.807040435;611.6687019;964.5269639;400.4261485;92.68571429;506.9488449;289862.5714;1.962681952;875
2;2;2;C;0;3.807040435;713.1526287;1078.528231;422.6149841;95.97365945;506.7780013;626670.5249;1.961080973;2126
2;2;2;D;0;3.807040435;771.067642;1133.285696;444.1615009;95.1442623;506.7973093;640541.9148;1.961261861;1830
2;2;2;E;0;3.807040435;876.5359907;1239.599326;498.1987406;95.36629353;506.8164602;579295.2531;1.961441289;1608
2;2;2;F;0;3.807040435;903.0107632;1266.216122;482.5619347;95.40359897;506.8761489;428714.9049;1.9620006;1167
2;2;2;G;0;3.807040435;930.200253;1297.03411;580.9178731;96.35670103;507.1829657;203279.2907;1.964877443;485
2;3;0;A+;3;6.182445671;420.0349406;1377.57424;576.4542025;154.8803419;578.4571027;259012.3248;1.980626002;0
2;3;0;A;0;6.182445671;420.0349406;1377.57424;576.4542025;154.8803419;578.4571027;259012.3248;1.980626002;117
2;3;0;B;0;6.182445671;423.3538179;1272.828659;502.9409117;137.4011008;576.05748;2884132.316;1.960780654;2907
2;3;0;C;0;6.182445671;553.2755817;1401.707166;544.6709045;137.2323558;575.998773;7198361.219;1.960296944;7127
2;3;0;D;0;6.182445671;676.8281897;1508.616436;578.1804465;134.5403244;575.9908;9426989.064;1.960231258;8878
2;3;0;E;0;6.182445671;662.127865;1500.53248;609.3462953;135.6105108;576.0999215;2638788.135;1.961130402;2036
2;3;0;F;0;6.182445671;623.055044;1449.123683;597.2110726;133.6151877;576.2044397;1453053.45;1.961991895;1172
2;3;0;G;0;6.182445671;579.2957044;1331.646481;545.7144616;121.6914498;577.0359219;318387.3903;1.968855173;269
2;3;1;A+;3;6.566640388;542.1361417;1421.994577;630.5740272;133.9891304;631.0698728;220422.9891;1.986377154;0
2;3;1;A;3;6.566640388;542.1361417;1421.994577;630.5740272;133.9891304;631.0698728;220422.9891;1.986377154;0
2;3;1;B;3;6.566640388;542.1361417;1421.994577;630.5740272;133.9891304;631.0698728;220422.9891;1.986377154;0
2;3;1;C;0;6.566640388;542.1361417;1421.994577;630.5740272;133.9891304;631.0698728;220422.9891;1.986377154;92
2;3;1;D;0;6.566640388;705.5548864;1552.611938;620.3250105;128.9939759;629.5033624;254664.994;1.97444563;166
2;3;1;E;0;6.566640388;589.0335147;1433.27882;606.0920764;128.5657895;631.8191398;70774.67105;1.992102154;76
2;3;1;F;0;6.566640388;607.1624767;1313.417784;645.3533085;107.552;630.1389036;152802.912;1.979280117;125
2;3;1;G;2;6.566640388;607.1624767;1313.417784;645.3533085;107.552;630.1389036;152802.912;1.979280117;0
2;3;2;A+;3;2.835311663;445.7056971;742.7045938;266.3152246;104.75;484.2095562;20501.75;2.00758377;0
2;3;2;A;0;2.835311663;445.7056971;742.7045938;266.3152246;104.75;484.2095562;20501.75;2.00758377;52
2;3;2;B;0;2.835311663;672.543322;966.1460942;374.4060807;103.5522042;479.9973637;190464.5754;1.965496192;431
2;3;2;C;0;2.835311663;843.7727719;1129.233525;443.2318908;100.6805556;479.8098416;278234.875;1.963637307;648
2;3;2;D;0;2.835311663;863.4359106;1159.087418;437.2205175;104.2747826;479.8570785;420294.5843;1.964105441;575
2;3;2;E;0;2.835311663;879.2374578;1181.139623;469.5442828;106.4793578;479.9909335;180506.8142;1.965432429;436
2;3;2;F;0;2.835311663;932.0795174;1224.308843;475.0572118;103.0677966;480.4622523;110304.9153;1.970110062;236
2;3;2;G;2;2.835311663;932.0795174;1224.308843;475.0572118;103.0677966;480.4622523;110304.9153;1.970110062;0
2;4;0;A+;3;6.509875816;310.7651343;1287.378019;535.5329512;150.020202;527.448699;427219.8788;1.968010728;0
2;4;0;A;0;6.509875816;310.7651343;1287.378019;535.5329512;150.020202;527.448699;427219.8788;1.968010728;297
2;4;0;B;0;6.509875816;378.2530704;1311.156568;519.9133398;143.3058824;526.6258471;5278834.118;1.960584541;3825
2;4;0;C;0;6.509875816;444.465619;1359.190571;528.4258734;140.5134258;526.5699334;24251105.83;1.960080662;20334
2;4;0;D;0;6.509875816;502.9264261;1429.791049;590.0263888;142.3782341;526.6651849;3302934.646;1.9609391;2435
2;4;0;E;0;6.509875816;572.8321275;1496.746783;612.7073942;141.9250814;527.4194864;485819.2769;1.967746738;307
2;4;0;F;0;6.509875816;579.6824614;1473.056447;574.311228;137.2336449;529.058457;199325.1589;1.982597262;107
2;4;0;G;0;6.509875816;675.0434601;1599.779666;657.988688;142.0512821;530.0098543;177239.7949;1.991254395;78
2;4;1;A+;3;6.829642724;292.0282249;1113.447982;541.5178432;120.2727273;543.1139096;163209.2727;1.99167261;0
2;4;1;A;3;6.829642724;292.0282249;1113.447982;541.5178432;120.2727273;543.1139096;163209.2727;1.99167261;0
2;4;1;B;0;6.829642724;292.0282249;1113.447982;541.5178432;120.2727273;543.1139096;163209.2727;1.99167261;77
2;4;1;C;0;6.829642724;423.952285;1322.186896;548.8692214;131.52;540.2517052;494417.6;1.966327183;375
2;4;1;D;0;6.829642724;494.0913636;1283.980522;557.1999674;115.656;541.7177276;111460.208;1.979280117;125
2;4;1;E;2;6.829642724;494.0913636;1283.980522;557.1999674;115.656;541.7177276;111460.208;1.979280117;0
2;4;1;F;2;6.829642724;494.0913636;1283.980522;557.1999674;115.656;541.7177276;111460.208;1.979280117;0
2;4;1;G;2;6.829642724;494.0913636;1283.980522;557.1999674;115.656;541.7177276;111460.208;1.979280117;0
2;4;2;A+;3;4.817312771;475.1803097;920.5792742;361.7664441;92.45797101;441.7235174;95341.64058;1.966884036;0
2;4;2;A;3;4.817312771;475.1803097;920.5792742;361.7664441;92.45797101;441.7235174;95341.64058;1.966884036;0
2;4;2;B;0;4.817312771;475.1803097;920.5792742;361.7664441;92.45797101;441.7235174;95341.64058;1.966884036;345
2;4;2;C;0;4.817312771;563.5941968;1031.614085;397.9844144;97.15372671;441.2524702;374335.5621;1.961808946;1288
2;4;2;D;0;4.817312771;722.6010756;1211.186329;424.3300562;101.4227799;441.5082073;135782.4112;1.964563095;518
2;4;2;E;0;4.817312771;726.4245372;1192.419259;500.6756115;96.73333333;444.091837;36418.66667;1.992543495;75
2;4;2;F;2;4.817312771;726.4245372;1192.419259;500.6756115;96.73333333;444.091837;36418.66667;1.992543495;0
2;4;2;G;2;4.817312771;726.4245372;1192.419259;500.6756115;96.73333333;444.091837;36418.66667;1.992543495;0
2;5;0;A+;3;5.707360309;405.1327997;1243.04493;480.6262178;146.8125516;448.9202015;1641512.449;1.961926469;0
2;5;0;A;0;5.707360309;405.1327997;1243.04493;480.6262178;146.8125516;448.9202015;1641512.449;1.961926469;1211
2;5;0;B;0;5.707360309;408.4128193;1231.425023;447.6332338;144.2019006;448.7696221;6816876.337;1.960333681;6419
2;5;0;C;0;5.707360309;385.0949222;1192.2707;467.6626607;141.4271632;448.9808782;1130445.406;1.962568556;913
2;5;0;D;2;5.707360309;385.0949222;1192.2707;467.6626607;141.4271632;448.9808782;1130445.406;1.962568556;0
2;5;0;E;2;5.707360309;385.0949222;1192.2707;467.6626607;141.4271632;448.9808782;1130445.406;1.962568556;0
2;5;0;F;2;5.707360309;385.0949222;1192.2707;467.6626607;141.4271632;448.9808782;1130445.406;1.962568556;0
2;5;0;G;2;5.707360309;385.0949222;1192.2707;467.6626607;141.4271632;448.9808782;1130445.406;1.962568556;0
2;5;1;A+;3;7.381410344;264.849021;1324.039937;502.648198;143.494382;452.8321143;163156.2472;1.987289865;0
2;5;1;A;3;7.381410344;264.849021;1324.039937;502.648198;143.494382;452.8321143;163156.2472;1.987289865;0
2;5;1;B;0;7.381410344;264.849021;1324.039937;502.648198;143.494382;452.8321143;163156.2472;1.987289865;89
2;5;1;C;0;7.381410344;269.5978683;1277.16038;484.1828563;136.5;454.7320816;32919;2.00758377;52
2;5;1;D;2;7.381410344;269.5978683;1277.16038;484.1828563;136.5;454.7320816;32919;2.00758377;0
2;5;1;E;2;7.381410344;269.5978683;1277.16038;484.1828563;136.5;454.7320816;32919;2.00758377;0
2;5;1;F;2;7.381410344;269.5978683;1277.16038;484.1828563;136.5;454.7320816;32919;2.00758377;0
2;5;1;G;2;7.381410344;269.5978683;1277.16038;484.1828563;136.5;454.7320816;32919;2.00758377;0
2;5;2;A+;3;1.617817735;709.8661595;863.6605939;317.0043123;95.06289308;345.3913017;23049.37107;1.975092073;0
2;5;2;A;3;1.617817735;709.8661595;863.6605939;317.0043123;95.06289308;345.3913017;23049.37107;1.975092073;0
2;5;2;B;0;1.617817735;709.8661595;863.6605939;317.0043123;95.06289308;345.3913017;23049.37107;1.975092073;159
2;5;2;C;2;1.617817735;709.8661595;863.6605939;317.0043123;95.06289308;345.3913017;23049.37107;1.975092073;0
2;5;2;D;2;1.617817735;709.8661595;863.6605939;317.0043123;95.06289308;345.3913017;23049.37107;1.975092073;0
2;5;2;E;2;1.617817735;709.8661595;863.6605939;317.0043123;95.06289308;345.3913017;23049.37107;1.975092073;0
2;5;2;F;2;1.617817735;709.8661595;863.6605939;317.0043123;95.06289308;345.3913017;23049.37107;1.975092073;0
2;5;2;G;2;1.617817735;709.8661595;863.6605939;317.0043123;95.06289308;345.3913017;23049.37107;1.975092073;0
2;6;0;A+;3;5.667208747;357.302817;1265.596989;506.4110171;160.271875;439.1358646;1123720.694;1.963683381;0
2;6;0;A;0;5.667208747;357.302817;1265.596989;506.4110171;160.271875;439.1358646;1123720.694;1.963683381;640
2;6;0;B;0;5.667208747;329.4158288;1187.516985;438.7466735;151.4151313;438.8279015;6743491.076;1.960350927;6133
2;6;0;C;0;5.667208747;349.5354573;1202.36914;461.8370575;150.4856661;439.1631899;798976.1282;1.963979265;593
2;6;0;D;2;5.667208747;349.5354573;1202.36914;461.8370575;150.4856661;439.1631899;798976.1282;1.963979265;0
2;6;0;E;2;5.667208747;349.5354573;1202.36914;461.8370575;150.4856661;439.1631899;798976.1282;1.963979265;0
2;6;0;F;2;5.667208747;349.5354573;1202.36914;461.8370575;150.4856661;439.1631899;798976.1282;1.963979265;0
2;6;0;G;2;5.667208747;349.5354573;1202.36914;461.8370575;150.4856661;439.1631899;798976.1282;1.963979265;0
2;6;1;A+;3;7.088986478;274.9077011;1284.950177;493.4948225;142.4805195;442.5610769;121447.2208;1.99167261;0
2;6;1;A;3;7.088986478;274.9077011;1284.950177;493.4948225;142.4805195;442.5610769;121447.2208;1.99167261;0
2;6;1;B;0;7.088986478;274.9077011;1284.950177;493.4948225;142.4805195;442.5610769;121447.2208;1.99167261;77
2;6;1;C;2;7.088986478;274.9077011;1284.950177;493.4948225;142.4805195;442.5610769;121447.2208;1.99167261;0
2;6;1;D;2;7.088986478;274.9077011;1284.950177;493.4948225;142.4805195;442.5610769;121447.2208;1.99167261;0
2;6;1;E;2;7.088986478;274.9077011;1284.950177;493.4948225;142.4805195;442.5610769;121447.2208;1.99167261;0
2;6;1;F;2;7.088986478;274.9077011;1284.950177;493.4948225;142.4805195;442.5610769;121447.2208;1.99167261;0
2;6;1;G;2;7.088986478;274.9077011;1284.950177;493.4948225;142.4805195;442.5610769;121447.2208;1.99167261;0
2;6;2;A+;3;6.687577898;134.7779829;846.213079;353.8566428;106.3815789;353.8621999;35005.93421;1.992102154;0
2;6;2;A;3;6.687577898;134.7779829;846.213079;353.8566428;106.3815789;353.8621999;35005.93421;1.992102154;0
2;6;2;B;0;6.687577898;134.7779829;846.213079;353.8566428;106.3815789;353.8621999;35005.93421;1.992102154;76
2;6;2;C;2;6.687577898;134.7779829;846.213079;353.8566428;106.3815789;353.8621999;35005.93421;1.992102154;0
2;6;2;D;2;6.687577898;134.7779829;846.213079;353.8566428;106.3815789;353.8621999;35005.93421;1.992102154;0
2;6;2;E;2;6.687577898;134.7779829;846.213079;353.8566428;106.3815789;353.8621999;35005.93421;1.992102154;0
2;6;2;F;2;6.687577898;134.7779829;846.213079;353.8566428;106.3815789;353.8621999;35005.93421;1.992102154;0
2;6;2;G;2;6.687577898;134.7779829;846.213079;353.8566428;106.3815789;353.8621999;35005.93421;1.992102154;0
2;7;0;A+;3;4.923547278;315.4167919;1142.807542;446.4627039;168.0476908;440.2477064;5483676.939;1.960559762;0
2;7;0;A;0;4.923547278;315.4167919;1142.807542;446.4627039;168.0476908;440.2477064;5483676.939;1.960559762;3984
2;7;0;B;0;4.923547278;350.5814195;1142.107319;438.2239322;160.7633389;440.2446514;5295753.812;1.960526826;4217
2;7;0;C;2;4.923547278;350.5814195;1142.107319;438.2239322;160.7633389;440.2446514;5295753.812;1.960526826;0
2;7;0;D;2;4.923547278;350.5814195;1142.107319;438.2239322;160.7633389;440.2446514;5295753.812;1.960526826;0
2;7;0;E;2;4.923547278;350.5814195;1142.107319;438.2239322;160.7633389;440.2446514;5295753.812;1.960526826;0
2;7;0;F;2;4.923547278;350.5814195;1142.107319;438.2239322;160.7633389;440.2446514;5295753.812;1.960526826;0
2;7;0;G;2;4.923547278;350.5814195;1142.107319;438.2239322;160.7633389;440.2446514;5295753.812;1.960526826;0
2;7;1;A+;3;3.481700581;631.3664469;1216.17799;551.0142248;167.9672131;444.7856866;113867.9344;2.000297822;0
2;7;1;A;0;3.481700581;631.3664469;1216.17799;551.0142248;167.9672131;444.7856866;113867.9344;2.000297822;61
2;7;1;B;0;3.481700581;560.9009271;1091.102154;351.1938364;152.2822581;442.8675136;195369.121;1.979438685;124
2;7;1;C;2;3.481700581;560.9009271;1091.102154;351.1938364;152.2822581;442.8675136;195369.121;1.979438685;0
2;7;1;D;2;3.481700581;560.9009271;1091.102154;351.1938364;152.2822581;442.8675136;195369.121;1.979438685;0
2;7;1;E;2;3.481700581;560.9009271;1091.102154;351.1938364;152.2822581;442.8675136;195369.121;1.979438685;0
2;7;1;F;2;3.481700581;560.9009271;1091.102154;351.1938364;152.2822581;442.8675136;195369.121;1.979438685;0
2;7;1;G;2;3.481700581;560.9009271;1091.102154;351.1938364;152.2822581;442.8675136;195369.121;1.979438685;0
2;7;2;A+;3;1.051109436;745.6028869;879.7922645;288.2329964;127.6645161;345.8447497;62322.55484;1.975488058;0
