W;B;E;S;Bewerkingstype;RE_FO_a_WBE [m3 aardgas];RE_FO_b_WBSE [m3 aardgas];FVrvKC_mean_SJV [m3 aardgas];FVrvKC sd_SJV [m3 aardgas];OP_mean [m2];Se (stdv residuals);Sse;t a/2;Count
1;2;0;A;0;5.074839517;714.851814;1657.565542;679.2245105;185.7622739;683.5472106;1441392.129;1.966128753;387
1;2;0;B;0;5.074839517;772.7203744;1629.160371;666.4833655;168.7619863;683.2474395;1738381.916;1.964041377;584
1;2;0;C;0;5.074839517;856.3133774;1670.756228;655.3669042;160.4864248;682.7391197;10733938.94;1.960505499;4383
1;2;0;D;0;5.074839517;917.4360562;1726.429535;661.2338949;159.412623;682.7771044;7732478.25;1.960769561;2947
1;2;0;E;0;5.074839517;1040.338424;1817.728168;676.8991957;153.1850891;682.7165492;15010094.63;1.960348606;6170
1;2;0;F;0;5.074839517;1092.131297;1844.496474;681.5956454;148.2539842;682.7040543;18642735.94;1.960261754;7969
1;2;0;G;0;5.074839517;999.2102461;1734.305513;689.0421189;144.8509385;682.7869213;7000580.63;1.96083781;2717
1;2;1;A+;3;4.673076922;885.9883336;1654.133818;639.2622634;164.3768116;672.4195817;222060.2029;1.995468931;0
1;2;1;A;3;4.673076922;885.9883336;1654.133818;639.2622634;164.3768116;672.4195817;222060.2029;1.995468931;0
1;2;1;B;3;4.673076922;885.9883336;1654.133818;639.2622634;164.3768116;672.4195817;222060.2029;1.995468931;0
1;2;1;C;0;4.673076922;885.9883336;1654.133818;639.2622634;164.3768116;672.4195817;222060.2029;1.995468931;69
1;2;1;D;0;4.673076922;944.1673048;1633.524035;612.3254197;147.5166667;673.1863575;240012.9833;2.000995378;60
1;2;1;E;0;4.673076922;1118.656063;1789.242601;716.0724584;143.5;670.2792487;362384;1.980099876;120
1;2;1;F;0;4.673076922;1243.3128;1898.682262;641.4187192;140.2436709;668.5189925;751210.2373;1.967523532;316
1;2;1;G;0;4.673076922;1095.502378;1724.996993;679.0718956;134.7066667;669.7081338;468033.0933;1.976013178;150
1;2;2;A+;3;1.860106946;1027.45548;1214.998028;459.642656;100.8235294;556.284902;22519.41176;2.008559112;0
1;2;2;A;3;1.860106946;1027.45548;1214.998028;459.642656;100.8235294;556.284902;22519.41176;2.008559112;0
1;2;2;B;3;1.860106946;1027.45548;1214.998028;459.642656;100.8235294;556.284902;22519.41176;2.008559112;0
1;2;2;C;0;1.860106946;1027.45548;1214.998028;459.642656;100.8235294;556.284902;22519.41176;2.008559112;51
1;2;2;D;0;1.860106946;1167.057442;1365.278069;450.0750238;106.5641026;554.3051036;39845.17949;1.991254395;78
1;2;2;E;0;1.860106946;1142.566782;1328.752959;630.6649856;100.0943396;556.0667082;26296.5283;2.006646805;53
1;2;2;F;0;1.860106946;1115.334758;1296.472496;521.9442831;97.38028169;554.6701383;103420.7324;1.994437112;71
1;2;2;G;2;1.860106946;1115.334758;1296.472496;521.9442831;97.38028169;554.6701383;103420.7324;1.994437112;0
1;3;0;A+;3;5.184341543;735.1535239;1724.080413;706.4089883;190.7526502;687.6992469;947446.6855;1.968411901;0
1;3;0;A;0;5.184341543;735.1535239;1724.080413;706.4089883;190.7526502;687.6992469;947446.6855;1.968411901;283
1;3;0;B;0;5.184341543;770.3816227;1681.671314;660.9568726;175.7773256;686.6786001;4101101.716;1.96134497;1720
1;3;0;C;0;5.184341543;857.3233592;1757.715213;650.4473225;173.6752577;686.5279979;16498693.48;1.960303763;6984
1;3;0;D;0;5.184341543;1033.895555;1910.666486;692.1512051;169.1190528;686.5164739;22983286.71;1.960224107;9122
1;3;0;E;0;5.184341543;1031.061733;1913.63514;696.8569564;170.2382838;686.5921849;7395925.959;1.960747479;3030
1;3;0;F;0;5.184341543;967.6618151;1826.888904;686.5638108;165.735047;686.6486545;5032143.985;1.961137905;2023
1;3;0;G;0;5.184341543;1000.923074;1796.533516;676.702661;153.4641256;687.251466;1116250.926;1.965309213;446
1;3;1;A+;3;4.101848968;1170.158122;1898.386381;685.5958915;177.5365854;665.6115869;287652.3902;1.989686323;0
1;3;1;A;3;4.101848968;1170.158122;1898.386381;685.5958915;177.5365854;665.6115869;287652.3902;1.989686323;0
1;3;1;B;3;4.101848968;1170.158122;1898.386381;685.5958915;177.5365854;665.6115869;287652.3902;1.989686323;0
1;3;1;C;0;4.101848968;1170.158122;1898.386381;685.5958915;177.5365854;665.6115869;287652.3902;1.989686323;82
1;3;1;D;0;4.101848968;1204.696344;1879.700177;646.2804779;164.5608696;662.9391624;731580.6478;1.970377283;230
1;3;1;E;0;4.101848968;1318.08244;2025.72927;632.0392283;172.5189873;665.7716474;282837.7215;1.990847069;79
1;3;1;F;0;4.101848968;1354.943538;2005.244363;650.5229606;158.5384615;664.7248031;358037.8462;1.983264145;104
1;3;1;G;2;4.101848968;1354.943538;2005.244363;650.5229606;158.5384615;664.7248031;358037.8462;1.983264145;0
1;3;2;A+;5;5.184341543;735.1535239;1724.080413;706.4089883;190.7526502;687.6992469;947446.6855;1.968411901;0
1;3;2;A;5;5.184341543;735.1535239;1724.080413;706.4089883;190.7526502;687.6992469;947446.6855;1.968411901;0
1;3;2;B;5;5.184341543;770.3816227;1681.671314;660.9568726;175.7773256;686.6786001;4101101.716;1.96134497;0
1;3;2;C;5;5.184341543;857.3233592;1757.715213;650.4473225;173.6752577;686.5279979;16498693.48;1.960303763;0
1;3;2;D;5;5.184341543;1033.895555;1910.666486;692.1512051;169.1190528;686.5164739;22983286.71;1.960224107;0
1;3;2;E;5;5.184341543;1031.061733;1913.63514;696.8569564;170.2382838;686.5921849;7395925.959;1.960747479;0
1;3;2;F;5;5.184341543;967.6618151;1826.888904;686.5638108;165.735047;686.6486545;5032143.985;1.961137905;0
1;3;2;G;5;5.184341543;1000.923074;1796.533516;676.702661;153.4641256;687.251466;1116250.926;1.965309213;0
1;4;0;A+;3;5.336743809;630.8867058;1634.143957;651.7850768;187.9905213;641.0172552;2231209.924;1.962782043;0
1;4;0;A;0;5.336743809;630.8867058;1634.143957;651.7850768;187.9905213;641.0172552;2231209.924;1.962782043;844
1;4;0;B;0;5.336743809;720.7301173;1684.958339;604.5884342;180.6772549;640.670978;20315479.5;1.960216064;9413
1;4;0;C;0;5.336743809;846.7649996;1822.3702;645.4441985;182.8090752;640.6518817;49991620.35;1.960074627;21443
1;4;0;D;0;5.336743809;909.7566342;1899.932974;677.2367164;185.5394178;640.734119;8229095.376;1.960683768;3298
1;4;0;E;0;5.336743809;895.1662741;1886.362693;668.540876;185.7305606;641.218019;1504422.854;1.964270856;553
1;4;0;F;0;5.336743809;876.6999658;1782.152359;720.2867815;169.6638298;642.0102278;719486.4426;1.970153643;235
1;4;0;G;0;5.336743809;878.0149871;1789.867118;648.305162;170.8630137;642.8575276;486573.2603;1.976459563;146
1;4;1;A+;3;5.351668755;777.1265724;1779.520699;620.3566612;187.3049645;663.7162438;364211.8865;1.97705372;0
1;4;1;A;3;5.351668755;777.1265724;1779.520699;620.3566612;187.3049645;663.7162438;364211.8865;1.97705372;0
1;4;1;B;0;5.351668755;777.1265724;1779.520699;620.3566612;187.3049645;663.7162438;364211.8865;1.97705372;141
1;4;1;C;0;5.351668755;883.3751535;1828.120651;680.4656634;176.5328798;662.0943885;1330681.773;1.965370119;441
1;4;1;D;0;5.351668755;778.9992478;1765.834803;723.4107618;184.3977273;665.1754769;295693.0795;1.987608282;88
1;4;1;E;2;5.351668755;778.9992478;1765.834803;723.4107618;184.3977273;665.1754769;295693.0795;1.987608282;0
1;4;1;F;2;5.351668755;778.9992478;1765.834803;723.4107618;184.3977273;665.1754769;295693.0795;1.987608282;0
1;4;1;G;2;5.351668755;778.9992478;1765.834803;723.4107618;184.3977273;665.1754769;295693.0795;1.987608282;0
1;4;2;A+;5;5.336743809;630.8867058;1634.143957;651.7850768;187.9905213;641.0172552;2231209.924;1.962782043;0
1;4;2;A;5;5.336743809;630.8867058;1634.143957;651.7850768;187.9905213;641.0172552;2231209.924;1.962782043;0
1;4;2;B;5;5.336743809;720.7301173;1684.958339;604.5884342;180.6772549;640.670978;20315479.5;1.960216064;0
1;4;2;C;5;5.336743809;846.7649996;1822.3702;645.4441985;182.8090752;640.6518817;49991620.35;1.960074627;0
1;4;2;D;5;5.336743809;909.7566342;1899.932974;677.2367164;185.5394178;640.734119;8229095.376;1.960683768;0
1;4;2;E;5;5.336743809;895.1662741;1886.362693;668.540876;185.7305606;641.218019;1504422.854;1.964270856;0
1;4;2;F;5;5.336743809;876.6999658;1782.152359;720.2867815;169.6638298;642.0102278;719486.4426;1.970153643;0
1;4;2;G;5;5.336743809;878.0149871;1789.867118;648.305162;170.8630137;642.8575276;486573.2603;1.976459563;0
1;5;0;A+;3;5.814908932;548.0617159;1599.344772;552.2970574;180.7909751;550.8075385;7785623.526;1.96057955;0
1;5;0;A;0;5.814908932;548.0617159;1599.344772;552.2970574;180.7909751;550.8075385;7785623.526;1.96057955;3856
1;5;0;B;0;5.814908932;597.2928142;1647.607354;577.5360042;180.6244176;550.7738343;15611775.53;1.96028914;7298
1;5;0;C;0;5.814908932;570.4981129;1604.272897;598.6152359;177.7800471;550.9527053;2814442.413;1.961830723;1273
1;5;0;D;2;5.814908932;570.4981129;1604.272897;598.6152359;177.7800471;550.9527053;2814442.413;1.961830723;0
1;5;0;E;2;5.814908932;570.4981129;1604.272897;598.6152359;177.7800471;550.9527053;2814442.413;1.961830723;0
1;5;0;F;2;5.814908932;570.4981129;1604.272897;598.6152359;177.7800471;550.9527053;2814442.413;1.961830723;0
1;5;0;G;2;5.814908932;570.4981129;1604.272897;598.6152359;177.7800471;550.9527053;2814442.413;1.961830723;0
1;5;1;A+;3;5.469693102;707.6476889;1697.009792;645.4792742;180.8807339;622.6976731;332869.4495;1.982173483;0
1;5;1;A;3;5.469693102;707.6476889;1697.009792;645.4792742;180.8807339;622.6976731;332869.4495;1.982173483;0
1;5;1;B;0;5.469693102;707.6476889;1697.009792;645.4792742;180.8807339;622.6976731;332869.4495;1.982173483;109
1;5;1;C;2;5.469693102;707.6476889;1697.009792;645.4792742;180.8807339;622.6976731;332869.4495;1.982173483;0
1;5;1;D;2;5.469693102;707.6476889;1697.009792;645.4792742;180.8807339;622.6976731;332869.4495;1.982173483;0
1;5;1;E;2;5.469693102;707.6476889;1697.009792;645.4792742;180.8807339;622.6976731;332869.4495;1.982173483;0
1;5;1;F;2;5.469693102;707.6476889;1697.009792;645.4792742;180.8807339;622.6976731;332869.4495;1.982173483;0
1;5;1;G;2;5.469693102;707.6476889;1697.009792;645.4792742;180.8807339;622.6976731;332869.4495;1.982173483;0
1;5;2;A+;5;5.814908932;548.0617159;1599.344772;552.2970574;180.7909751;550.8075385;7785623.526;1.96057955;0
1;5;2;A;5;5.814908932;548.0617159;1599.344772;552.2970574;180.7909751;550.8075385;7785623.526;1.96057955;0
1;5;2;B;5;5.814908932;597.2928142;1647.607354;577.5360042;180.6244176;550.7738343;15611775.53;1.96028914;0
1;5;2;C;5;5.814908932;570.4981129;1604.272897;598.6152359;177.7800471;550.9527053;2814442.413;1.961830723;0
1;5;2;D;5;5.814908932;570.4981129;1604.272897;598.6152359;177.7800471;550.9527053;2814442.413;1.961830723;0
1;5;2;E;5;5.814908932;570.4981129;1604.272897;598.6152359;177.7800471;550.9527053;2814442.413;1.961830723;0
1;5;2;F;5;5.814908932;570.4981129;1604.272897;598.6152359;177.7800471;550.9527053;2814442.413;1.961830723;0
1;5;2;G;5;5.814908932;570.4981129;1604.272897;598.6152359;177.7800471;550.9527053;2814442.413;1.961830723;0
1;6;0;A+;3;5.631239427;460.6294565;1523.954075;558.8694416;188.826036;544.0483386;5754707.586;1.960892172;0
1;6;0;A;0;5.631239427;460.6294565;1523.954075;558.8694416;188.826036;544.0483386;5754707.586;1.960892172;2558
1;6;0;B;0;5.631239427;514.8798323;1563.969253;561.2639554;186.2981381;543.9746201;17635394.02;1.960249017;8325
1;6;0;C;0;5.631239427;554.2361487;1610.732028;597.7665254;187.6133829;544.195117;2479835.167;1.962173193;1076
1;6;0;D;2;5.631239427;554.2361487;1610.732028;597.7665254;187.6133829;544.195117;2479835.167;1.962173193;0
1;6;0;E;2;5.631239427;554.2361487;1610.732028;597.7665254;187.6133829;544.195117;2479835.167;1.962173193;0
1;6;0;F;2;5.631239427;554.2361487;1610.732028;597.7665254;187.6133829;544.195117;2479835.167;1.962173193;0
1;6;0;G;2;5.631239427;554.2361487;1610.732028;597.7665254;187.6133829;544.195117;2479835.167;1.962173193;0
1;6;1;A+;3;6.840564089;349.3892513;1606.684931;673.6901284;183.8;598.1572493;359813.6;1.98196749;0
1;6;1;A;3;6.840564089;349.3892513;1606.684931;673.6901284;183.8;598.1572493;359813.6;1.98196749;0
1;6;1;B;0;6.840564089;349.3892513;1606.684931;673.6901284;183.8;598.1572493;359813.6;1.98196749;110
1;6;1;C;2;6.840564089;349.3892513;1606.684931;673.6901284;183.8;598.1572493;359813.6;1.98196749;0
1;6;1;D;2;6.840564089;349.3892513;1606.684931;673.6901284;183.8;598.1572493;359813.6;1.98196749;0
1;6;1;E;2;6.840564089;349.3892513;1606.684931;673.6901284;183.8;598.1572493;359813.6;1.98196749;0
1;6;1;F;2;6.840564089;349.3892513;1606.684931;673.6901284;183.8;598.1572493;359813.6;1.98196749;0
1;6;1;G;2;6.840564089;349.3892513;1606.684931;673.6901284;183.8;598.1572493;359813.6;1.98196749;0
1;6;2;A+;5;5.631239427;460.6294565;1523.954075;558.8694416;188.826036;544.0483386;5754707.586;1.960892172;0
1;6;2;A;5;5.631239427;460.6294565;1523.954075;558.8694416;188.826036;544.0483386;5754707.586;1.960892172;0
1;6;2;B;5;5.631239427;514.8798323;1563.969253;561.2639554;186.2981381;543.9746201;17635394.02;1.960249017;0
1;6;2;C;5;5.631239427;554.2361487;1610.732028;597.7665254;187.6133829;544.195117;2479835.167;1.962173193;0
1;6;2;D;5;5.631239427;554.2361487;1610.732028;597.7665254;187.6133829;544.195117;2479835.167;1.962173193;0
1;6;2;E;5;5.631239427;554.2361487;1610.732028;597.7665254;187.6133829;544.195117;2479835.167;1.962173193;0
1;6;2;F;5;5.631239427;554.2361487;1610.732028;597.7665254;187.6133829;544.195117;2479835.167;1.962173193;0
1;6;2;G;5;5.631239427;554.2361487;1610.732028;597.7665254;187.6133829;544.195117;2479835.167;1.962173193;0
1;7;0;A+;3;5.216030343;477.8391346;1549.340372;561.4877331;205.4246558;546.96136;18920248.47;1.9602665;0
1;7;0;A;0;5.216030343;477.8391346;1549.340372;561.4877331;205.4246558;546.96136;18920248.47;1.9602665;7844
1;7;0;B;0;5.216030343;544.0853315;1559.987068;568.7188967;194.7653042;546.9780159;13277825.57;1.960411008;5309
1;7;0;C;0;5.216030343;903.1568362;1827.698214;667.8602697;177.25;552.3686782;166673.75;2.00758377;52
1;7;0;D;2;5.216030343;903.1568362;1827.698214;667.8602697;177.25;552.3686782;166673.75;2.00758377;0
1;7;0;E;2;5.216030343;903.1568362;1827.698214;667.8602697;177.25;552.3686782;166673.75;2.00758377;0
1;7;0;F;2;5.216030343;903.1568362;1827.698214;667.8602697;177.25;552.3686782;166673.75;2.00758377;0
1;7;0;G;2;5.216030343;903.1568362;1827.698214;667.8602697;177.25;552.3686782;166673.75;2.00758377;0
1;7;1;A+;3;5.176039709;608.0550592;1658.916347;600.1040805;203.0241935;570.795889;316800.9274;1.979438685;0
1;7;1;A;0;5.176039709;608.0550592;1658.916347;600.1040805;203.0241935;570.795889;316800.9274;1.979438685;124
1;7;1;B;0;5.176039709;573.776048;1493.749;601.3091882;177.7368421;570.3626002;570855.4737;1.975798924;152
1;7;1;C;2;5.176039709;573.776048;1493.749;601.3091882;177.7368421;570.3626002;570855.4737;1.975798924;0
1;7;1;D;2;5.176039709;573.776048;1493.749;601.3091882;177.7368421;570.3626002;570855.4737;1.975798924;0
1;7;1;E;2;5.176039709;573.776048;1493.749;601.3091882;177.7368421;570.3626002;570855.4737;1.975798924;0
1;7;1;F;2;5.176039709;573.776048;1493.749;601.3091882;177.7368421;570.3626002;570855.4737;1.975798924;0
1;7;1;G;2;5.176039709;573.776048;1493.749;601.3091882;177.7368421;570.3626002;570855.4737;1.975798924;0
1;7;2;A+;5;5.216030343;477.8391346;1549.340372;561.4877331;205.4246558;546.96136;18920248.47;1.9602665;0
1;7;2;A;5;5.216030343;477.8391346;1549.340372;561.4877331;205.4246558;546.96136;18920248.47;1.9602665;0
1;7;2;B;5;5.216030343;544.0853315;1559.987068;568.7188967;194.7653042;546.9780159;13277825.57;1.960411008;0
1;7;2;C;5;5.216030343;903.1568362;1827.698214;667.8602697;177.25;552.3686782;166673.75;2.00758377;0
1;7;2;D;5;5.216030343;903.1568362;1827.698214;667.8602697;177.25;552.3686782;166673.75;2.00758377;0
1;7;2;E;5;5.216030343;903.1568362;1827.698214;667.8602697;177.25;552.3686782;166673.75;2.00758377;0
1;7;2;F;5;5.216030343;903.1568362;1827.698214;667.8602697;177.25;552.3686782;166673.75;2.00758377;0
1;7;2;G;5;5.216030343;903.1568362;1827.698214;667.8602697;177.25;552.3686782;166673.75;2.00758377;0
1;8;0;A+;3;4.858279725;550.6188117;1564.135101;568.0849955;208.6162894;558.3477329;19988583.82;1.960264089;0
1;8;0;A;0;4.858279725;550.6188117;1564.135101;568.0849955;208.6162894;558.3477329;19988583.82;1.960264089;7907
1;8;0;B;0;4.858279725;617.7653888;1511.212556;608.386432;183.9019608;563.9807118;150610.5098;2.008559112;51
1;8;0;C;2;4.858279725;617.7653888;1511.212556;608.386432;183.9019608;563.9807118;150610.5098;2.008559112;0
1;8;0;D;2;4.858279725;617.7653888;1511.212556;608.386432;183.9019608;563.9807118;150610.5098;2.008559112;0
